282810,108.0,248.0,79.0,108.0
282820,106.0,248.0,82.0,108.0
282830,106.0,248.0,82.0,108.0
282840,106.0,248.0,82.0,108.0
282850,106.0,248.0,82.0,108.0
282860,106.0,248.0,82.0,108.0
282870,106.0,248.0,82.0,108.0
282880,106.0,248.0,82.0,108.0
282890,106.0,246.0,82.0,108.0
282900,106.0,246.0,82.0,107.0
282910,106.0,246.0,82.0,107.0
282920,102.0,246.0,81.0,107.0
282930,102.0,246.0,81.0,107.0
282940,102.0,246.0,81.0,107.0
282950,102.0,246.0,81.0,107.0
282960,102.0,246.0,81.0,107.0
282970,102.0,246.0,81.0,107.0
282980,102.0,246.0,81.0,107.0
282990,102.0,250.0,81.0,107.0
283000,102.0,250.0,81.0,108.0
283010,102.0,250.0,81.0,108.0
283020,105.0,250.0,79.0,108.0
283030,105.0,250.0,79.0,108.0
283040,105.0,250.0,79.0,108.0
283050,105.0,250.0,79.0,108.0
283060,105.0,250.0,79.0,108.0
283070,105.0,250.0,79.0,108.0
283080,105.0,250.0,79.0,108.0
283090,105.0,241.0,79.0,108.0
283100,105.0,241.0,79.0,109.0
283110,105.0,241.0,79.0,109.0
283120,105.0,241.0,79.0,109.0
283130,105.0,241.0,84.0,109.0
283140,105.0,241.0,84.0,109.0
283150,105.0,241.0,84.0,109.0
283160,105.0,241.0,84.0,109.0
283170,105.0,241.0,84.0,109.0
283180,105.0,241.0,84.0,109.0
283190,105.0,247.0,84.0,109.0
283200,105.0,247.0,84.0,108.0
283210,105.0,247.0,84.0,108.0
283220,105.0,247.0,80.0,108.0
283230,105.0,247.0,80.0,108.0
283240,105.0,247.0,80.0,108.0
283250,105.0,247.0,80.0,108.0
283260,105.0,247.0,80.0,108.0
283270,105.0,247.0,80.0,108.0
283280,105.0,247.0,80.0,108.0
283290,105.0,243.0,80.0,108.0
283300,105.0,243.0,80.0,108.0
283310,105.0,243.0,80.0,108.0
283320,103.0,243.0,80.0,108.0
283330,103.0,243.0,76.0,108.0
283340,103.0,243.0,76.0,108.0
283350,103.0,243.0,76.0,108.0
283360,103.0,243.0,76.0,108.0
283370,103.0,243.0,76.0,108.0
283380,103.0,243.0,76.0,108.0
283390,103.0,242.0,76.0,108.0
