temp=19.390029907226562
temp=19.352264404296875
temp=19.395065307617188
temp=19.563751220703125
temp=19.435348510742188
temp=19.432830810546875
temp=19.420242309570312
temp=19.4580078125
temp=19.561233520507812
temp=19.493255615234375
temp=19.374923706054688
temp=19.563751220703125
temp=19.505844116210938
temp=19.432830810546875
temp=19.520950317382812
temp=19.46807861328125
temp=19.425277709960938
temp=19.42779541015625
temp=19.400100708007812
temp=19.2767333984375
temp=19.420242309570312
temp=19.473114013671875
temp=19.435348510742188
temp=19.362335205078125
temp=19.485702514648438
temp=19.483184814453125
temp=19.374923706054688
temp=19.3572998046875
temp=19.405136108398438
temp=19.37744140625
temp=19.470596313476562
temp=19.382476806640625
temp=19.430313110351562
temp=19.271697998046875
temp=19.485702514648438
temp=19.513397216796875
temp=19.238967895507812
temp=19.3170166015625
temp=19.425277709960938
temp=19.100494384765625
temp=19.384994506835938
temp=19.18609619140625
temp=19.254074096679688
temp=19.201202392578125
temp=19.047622680664062
temp=19.21630859375
temp=19.143295288085938
